Lang	Train	Dev	Tests
hin	"GlobalVoices_2018Q4,JoshuaIndianCorpus_training,pmindia_v1,news_commentary_v14,IITBv1_5_train, OPUS100v1_train, WikiMatrix_v1, neulab_tedtalksv1_train"	"IITBv1_5_dev, OPUS100v1_dev, OPUS100v1_test, neulab_tedtalksv1_dev, neulab_tedtalksv1_test"	IITBv1_5_test
hmn	JW300		
hmo	"JW300, "		
hne	OPUS_KDE4_v2		
hnj	OPUS_Tatoeba_v20190709		
hoc	OPUS_Tatoeba_v20190709		
hrv	"EESC2017, EMA2016,OPUS_DGT_v2019,rapid2016,OPUS_EUbookshop_v2, OPUS100v1_train, WikiMatrix_v1, neulab_tedtalksv1_train"	", OPUS100v1_dev, OPUS100v1_test, neulab_tedtalksv1_dev, neulab_tedtalksv1_test"	
hrx	OPUS_Tatoeba_v20190709		
hsb	 OPUS_Tatoeba_v20190709		
hsh	JW300		
hsn	OPUS_Tatoeba_v20190709		
hun	"EESC2017, EMA2016, GlobalVoices_2018Q4, rapid2016, OPUS_DGT_v2019,europarl_v7, OPUS100v1_train, WikiMatrix_v1, neulab_tedtalksv1_train"	", OPUS100v1_dev, OPUS100v1_test, neulab_tedtalksv1_dev, neulab_tedtalksv1_test"	
hye	"JW300,  OPUS_OpenSubtitles_v2016, OPUS_OpenSubtitles_v2018,  OPUS_Tatoeba_v20190709, OPUS_bible_uedin_v1, OPUS100v1_train, neulab_tedtalksv1_train"	", neulab_tedtalksv1_dev, neulab_tedtalksv1_test"	
iba	"JW300, OPUS_Tatoeba_v20190709"		
ibg	JW300		
ibo	"JW300,  OPUS_Tatoeba_v20190709, OPUS_wikimedia_v20190628, OPUS100v1_train"	", OPUS100v1_dev, OPUS100v1_test"	
ido	"OPUS_GNOME_v1,  OPUS_Tatoeba_v20190709, OPUS_wikimedia_v20190628, WikiMatrix_v1"		
ike	OPUS_Tatoeba_v20190709		
iku	" newsdev2020_eniu, newsdev2020_iuen, wiki_titles_v2"		
ile	" OPUS_Tatoeba_v20190709, OPUS_wikimedia_v20190628"		
ilo	"JW300, OPUS_Tatoeba_v20190709, OPUS_wikimedia_v20190628"		
ina	"OPUS_GNOME_v1,  OPUS_Tatoeba_v20190709, OPUS_wikimedia_v20190628"		
ind	"GlobalVoices_2018Q4, JW300,OPUS_Tanzil_v1, OPUS_Tatoeba_v20190709, OPUS100v1_train, WikiMatrix_v1, neulab_tedtalksv1_train"	", OPUS100v1_dev, OPUS100v1_test, neulab_tedtalksv1_dev, neulab_tedtalksv1_test"	
inl	JW300		
ins	JW300		
ipk	 OPUS_wikimedia_v20190628		
ise	JW300		
ish	JW300		
isl	"EESC2017, EMA2016,rapid2016,OPUS_Tatoeba_v20190709, OPUS100v1_train, WikiMatrix_v1"	", OPUS100v1_dev, OPUS100v1_test"	
iso	JW300		
