#	ISO 639-3	Name	Sentences	 SourceTokens	 EnglishTokens
265	CHR	Cherokee	 15,746	 287,938	 416,623
266	COP	Coptic	 15,706	 256,370	 416,296
267	DOP	Lukpa	 15,711	 558,508	 416,290
268	SYR	Syriac	 15,747	 217,478	 415,892
269	QUW	Tena Lowland Quichua	 15,674	 292,905	 415,461
270	USP	Uspanteco	 15,583	 500,341	 412,979
271	QUC	K'Iche'	 15,575	 616,986	 412,280
272	ROM	Romany	 16,048	 422,362	 411,993
273	AMU	Guerrero Amuzgo	 15,533	 566,676	 411,225
274	JAK	Jakun	 15,513	 564,458	 411,137
275	NHG	Tetelcingo Nahuatl	 15,459	 408,868	 409,271
276	TZH	Tzeltal	 22,481	 529,093	 408,029
277	SHI	Tachelhit	 15,288	 637,003	 404,390
278	CNI	Asháninka	 15,264	 331,249	 404,004
279	WOL	Wolof	 15,230	 402,534	 403,295
280	OKE	Okpe (Southwestern Edo)	 22,471	 458,573	 401,423
281	CJP	Cabécar	 15,155	 608,344	 400,614
282	FSE	Finnish Sign Language	 21,671	 298,224	 400,110
283	GBI	Galela	 15,023	 624,914	 398,145
284	SSP	Spanish Sign Language	 21,242	 387,212	 395,815
285	PCM	Nigerian Pidgin	 22,001	 465,750	 394,764
286	PPK	Uma	 14,576	 660,598	 384,278
287	BHW	Biak	 22,261	 366,474	 381,127
288	PSO	Polish Sign Language	 20,433	 312,201	 379,785
289	CMN	Mandarin Chinese	 44,110	 487,138	 374,935
290	CHQ	Quiotepec Chinantec	 14,251	 912,859	 366,313
291	DIK	Southwestern Dinka	 13,319	 383,777	 353,980
292	OJB	Northwestern Ojibwa	 13,318	 290,036	 353,940
293	CHA	Chamorro	 14,539	 316,758	 350,061
294	QUG	Chimborazo Highland Quichua	 20,272	 247,947	 349,776
295	CSL	Chinese Sign Language	 17,874	 494,654	 348,101
296	JIV	Shuar	 12,910	 272,452	 342,885
297	AGR	Aguaruna	 12,778	 295,678	 338,609
298	ACU	Achuar-Shiwiar	 12,347	 349,234	 328,050
299	AKE	Akawaio	 12,346	 493,819	 326,593
300	CCE	Chopi	 17,935	 346,295	 303,153
301	CHW	Chuwabu	 17,988	 252,729	 299,706
302	GSG	German Sign Language	 16,400	 268,254	 298,220
303	ARN	Mapudungun	 16,737	 275,559	 296,456
304	BSN	Barasana-Eduria	 11,180	 681,542	 291,888
305	TTJ	Tooro	 16,442	 252,981	 280,979
306	SUN	Sundanese	 15,850	 250,374	 272,390
307	KBH	Camsá	 10,287	 384,331	 272,175
308	LAM	Lamba	 14,846	 240,797	 271,580
309	DUA	Duala	 15,351	 444,826	 269,185
310	HNE	Chhattisgarhi	 52,059	 322,484	 263,135
311	XMF	Mingrelian	 12,946	 169,159	 262,169
312	KMR	Northern Kurdish	 14,798	 273,245	 260,963
313	DYU	Dyula	 14,886	 322,319	 258,596
314	HSH	Hungarian Sign Language	 13,877	 214,890	 256,618
315	AED	Argentine Sign Language	 12,390	 248,120	 251,486
316	NAV	Navajo	 14,626	 229,364	 248,195
317	TYV	Tuvinian	 12,979	 197,520	 245,669
318	RMN	Balkan Romani	 14,527	 257,259	 241,449
319	FCS	Quebec Sign Language	 13,034	 253,315	 239,624
320	TSS	Taiwan Sign Language	 12,298	 357,723	 239,608
321	BTS	Batak Simalungun	 14,255	 233,806	 238,303
322	GLV	Manx	 11,006	 261,914	 232,828
323	NIJ	Ngaju	 13,158	 213,322	 222,299
324	CSE	Czech Sign Language	 11,655	 179,085	 210,357
325	WLN	Walloon	 41,887	 301,028	 210,120
326	BIN	Bini	 11,635	 261,717	 208,326
327	SXN	Sangir	 11,668	 228,088	 195,463
328	KVK	Korean Sign Language	 9,330	 321,614	 194,428
329	RMS	Romanian Sign Language	 10,434	 198,109	 193,459
330	KAC	Kachin	 10,930	 270,098	 184,701
331	SVK	Slovakian Sign Language	 10,141	 159,092	 182,557
332	AMI	Amis	 9,156	 186,011	 175,520
333	UDM	Udmurt	 9,394	 147,593	 173,612
334	MNI	Manipuri	 7,281	 127,875	 162,599
335	TMH	Tamashek	 5,363	 168,471	 152,620
336	HER	Herero	 8,179	 151,589	 141,558
337	GSS	Greek Sign Language	 7,090	 137,633	 140,185
